"Step","base_config_0118 - train_10m_u_component_of_wind_lwrmse","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MIN","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MAX"
"34020","1.5512039130451472","1.5303464332859693","1.5720613928043248"
"34023","1.5410591530036322","1.5379479777235523","1.5441703282837123"
"34026","1.55865508583342","1.5408055754530248","1.5765045962138153"
"34029","1.5364951358060095","1.5260716700355565","1.5469186015764624"
"34032","1.5755074638851658","1.5564892928498286","1.5945256349205033"
"34035","1.580034058014539","1.5648833774536766","1.595184738575401"
"34038","1.5255248008994564","1.5175062830568027","1.5335433187421104"
"34041","1.5666270187549258","1.5666270187549258","1.5666270187549258"
"34044","1.599950567957335","1.599950567957335","1.599950567957335"
"34047","1.5327916065147398","1.5327916065147398","1.5327916065147398"
"34050","1.5282614694132939","1.5282614694132939","1.5282614694132939"
"34053","1.534145758447907","1.534145758447907","1.534145758447907"
"34056","1.5321861587104308","1.5321861587104308","1.5321861587104308"
"34059","1.5268525753406386","1.5268525753406386","1.5268525753406386"
"34062","1.512205810019744","1.512205810019744","1.512205810019744"
"34065","1.534409003186232","1.534409003186232","1.534409003186232"
"34068","1.5414344560236755","1.5414344560236755","1.5414344560236755"
"34071","1.5419710657004195","1.5419710657004195","1.5419710657004195"
"34074","1.5593569424212754","1.5593569424212754","1.5593569424212754"
"34077","1.5716478863362358","1.5716478863362358","1.5716478863362358"
"34080","1.5615499502941257","1.5615499502941257","1.5615499502941257"
"34083","1.5534806882308665","1.5534806882308665","1.5534806882308665"
"34086","1.5751504537442074","1.5751504537442074","1.5751504537442074"
"34089","1.5857248362584988","1.5857248362584988","1.5857248362584988"
"34092","1.5710516465246784","1.5710516465246784","1.5710516465246784"
"34095","1.5645781555975673","1.5645781555975673","1.5645781555975673"
"34098","1.5858371199594314","1.5858371199594314","1.5858371199594314"
"34101","1.5621336942314905","1.5621336942314905","1.5621336942314905"
"34104","1.562127974422823","1.562127974422823","1.562127974422823"
"34107","1.540723548774285","1.540723548774285","1.540723548774285"
"34110","1.5893160569043805","1.5893160569043805","1.5893160569043805"
"34113","1.6089701606683808","1.6089701606683808","1.6089701606683808"
"34116","1.542195419768057","1.542195419768057","1.542195419768057"
"34119","1.535974512997137","1.535974512997137","1.535974512997137"
"34122","1.581094950074834","1.581094950074834","1.581094950074834"
"34125","1.556942104165258","1.556942104165258","1.556942104165258"
"34128","1.542083854111652","1.542083854111652","1.542083854111652"
"34131","1.5423198570865184","1.5423198570865184","1.5423198570865184"
"34134","1.5573326535071326","1.5573326535071326","1.5573326535071326"
"34137","1.5555364613195732","1.5555364613195732","1.5555364613195732"
"34140","1.5887028803809022","1.5887028803809022","1.5887028803809022"
"34143","1.5736005656761387","1.5736005656761387","1.5736005656761387"
"34146","1.5408599252391555","1.5408599252391555","1.5408599252391555"
"34149","1.52534582237879","1.52534582237879","1.52534582237879"
"34152","1.5203916997724174","1.5203916997724174","1.5203916997724174"
"34155","1.52526235886093","1.52526235886093","1.52526235886093"
"34158","1.5508607437899493","1.5508607437899493","1.5508607437899493"
"34161","1.5290958665664047","1.5290958665664047","1.5290958665664047"
