"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocatedBytes","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.1.memoryAllocatedBytes","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.2.memoryAllocatedBytes","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.3.memoryAllocatedBytes","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MAX"
"150.392674","33268319300.27","33268319300.27","33268319300.27","33337385506.13","33337385506.13","33337385506.13","34142552064","34142552064","34142552064","33349968418.13","33349968418.13","33349968418.13"
"150.398939","33916339268.27","33916339268.27","33916339268.27","32910125738.67","32910125738.67","32910125738.67","33822107238.4","33822107238.4","33822107238.4","32922708650.67","32922708650.67","32922708650.67"
"150.400971","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"150.407032","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"150.409308","32631623953.07","32631623953.07","32631623953.07","32593875217.07","32593875217.07","32593875217.07","32644206865.07","32644206865.07","32644206865.07","32606458129.07","32606458129.07","32606458129.07"
"150.412383","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"150.420609","32627429649.07","32627429649.07","32627429649.07","32376051029.33","32376051029.33","32376051029.33","32533197619.2","32533197619.2","32533197619.2","32388633941.33","32388633941.33","32388633941.33"
"150.431852","32841059532.8","32841059532.8","32841059532.8","32803310796.8","32803310796.8","32803310796.8","32853642444.8","32853642444.8","32853642444.8","33784358502.4","33784358502.4","33784358502.4"
"150.463755","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"180.386979","33483487095.47","33483487095.47","33483487095.47","33445878169.6","33445878169.6","33445878169.6","33496070007.47","33496070007.47","33496070007.47","33458321271.47","33458321271.47","33458321271.47"
