"Relative Time (Process)","base_config_0118 - system/gpu.process.0.gpu","base_config_0118 - system/gpu.process.0.gpu__MIN","base_config_0118 - system/gpu.process.0.gpu__MAX"
"48693.390524","100","100","100"
"48704.837851","100","100","100"
"48723.423503","93.33","93.33","93.33"
"48734.841302","100","100","100"
"48753.424427","92.93","92.93","92.93"
"48764.845756","99","99","99"
"48783.425291","100","100","100"
"48794.849287","98.6","98.6","98.6"
"48813.426223","100","100","100"
"48824.915311","97.27","97.27","97.27"
"48843.44907","100","100","100"
"48854.918067","100","100","100"
"48873.462342","93.6","93.6","93.6"
"48884.91981","99.53","99.53","99.53"
"48903.465276","100","100","100"
"48914.925231","100","100","100"
"48933.495719","92.67","92.67","92.67"
"48944.928512","93.47","93.47","93.47"
"48963.50111","99.93","99.93","99.93"
"48974.937166","100","100","100"
"48993.548642","93.33","93.33","93.33"
"49023.576959","100","100","100"
"49034.951805","99.4","99.4","99.4"
"49053.59226","98.67","98.67","98.67"
"49064.953786","100","100","100"
"49083.736367","100","100","100"
"49094.956605","99.73","99.73","99.73"
"49113.778005","100","100","100"
"49124.958066","99.47","99.47","99.47"
"49143.780331","99.93","99.93","99.93"
"49154.960917","100","100","100"
"49173.806679","95.33","95.33","95.33"
"49184.96309","93.93","93.93","93.93"
"49203.809956","100","100","100"
"49214.966303","100","100","100"
"49233.813625","100","100","100"
"49244.975115","99.93","99.93","99.93"
"49263.8166","99.6","99.6","99.6"
"49274.988167","65.73","65.73","65.73"
"49293.820173","99.93","99.93","99.93"
"49305.035664","82.67","82.67","82.67"
"49323.825682","99.27","99.27","99.27"
"49335.056123","41.8","41.8","41.8"
"49353.830734","99.27","99.27","99.27"
"49365.059577","99.6","99.6","99.6"
"49395.063063","90.67","90.67","90.67"
"49413.840547","100","100","100"
"49425.066002","96.13","96.13","96.13"
"49443.844255","94.8","94.8","94.8"
"49455.069873","95.8","95.8","95.8"
"49473.848574","99.47","99.47","99.47"
"49485.072617","99.93","99.93","99.93"
"49503.849481","99.8","99.8","99.8"
"49515.074949","99.8","99.8","99.8"
"49533.85217","99.87","99.87","99.87"
"49545.079355","100","100","100"
"49563.853372","100","100","100"
"49575.084079","97.13","97.13","97.13"
"49593.856464","91.73","91.73","91.73"
"49605.086937","99.93","99.93","99.93"
"49623.860677","99.93","99.93","99.93"
"49635.08811","100","100","100"
"49653.867015","100","100","100"
"49665.09227","99.93","99.93","99.93"
"49683.938958","100","100","100"
"49695.10725","100","100","100"
"49713.948051","95.47","95.47","95.47"
"49725.112575","81.2","81.2","81.2"
"49744.581368","93.33","93.33","93.33"
"49755.157316","100","100","100"
"49774.586424","98.07","98.07","98.07"
"49785.259143","100","100","100"
"49804.590731","99.93","99.93","99.93"
"49815.444248","100","100","100"
"49834.5962","99.53","99.53","99.53"
"49864.599999","100","100","100"
"49875.44782","100","100","100"
"49894.607169","95.07","95.07","95.07"
"49905.450775","94.8","94.8","94.8"
"49924.610484","99.93","99.93","99.93"
"49935.452828","99.93","99.93","99.93"
"49954.611393","100","100","100"
"49965.45591","99.93","99.93","99.93"
"49984.615908","90.27","90.27","90.27"
"49995.468452","95.67","95.67","95.67"
"50014.61707","100","100","100"
"50025.475251","94.33","94.33","94.33"
"50044.618684","99.13","99.13","99.13"
"50055.478466","92","92","92"
"50074.623539","93.4","93.4","93.4"
"50085.479454","99.93","99.93","99.93"
"50104.625643","99.13","99.13","99.13"
"50115.509743","99.8","99.8","99.8"
"50134.629209","99.67","99.67","99.67"
"50145.51609","100","100","100"
"50164.632498","99.93","99.93","99.93"
"50175.519123","99","99","99"
"50205.521596","96.6","96.6","96.6"
"50224.642481","100","100","100"
"50235.523953","96.93","96.93","96.93"
"50254.646886","100","100","100"
"50265.526214","94.13","94.13","94.13"
"50284.651982","100","100","100"
"50295.528761","90.33","90.33","90.33"
"50314.680271","100","100","100"
"50325.531472","96.67","96.67","96.67"
"50344.695014","100","100","100"
"50355.534061","94.67","94.67","94.67"
"50374.69998","99.87","99.87","99.87"
"50385.534916","99.87","99.87","99.87"
"50404.702646","100","100","100"
"50415.538476","100","100","100"
"50434.704772","100","100","100"
"50445.600334","99.93","99.93","99.93"
"50464.708274","97.53","97.53","97.53"
"50475.608542","99.93","99.93","99.93"
"50494.711774","95.27","95.27","95.27"
"50505.610772","97.13","97.13","97.13"
"50524.713847","100","100","100"
"50535.61257","99.87","99.87","99.87"
"50554.719296","99.73","99.73","99.73"
"50565.615331","99.53","99.53","99.53"
"50584.721318","99.53","99.53","99.53"
"50595.631861","98.6","98.6","98.6"
"50614.724207","95.07","95.07","95.07"
"50625.642326","99.4","99.4","99.4"
"50644.730309","100","100","100"
"50655.644037","95.13","95.13","95.13"
"50674.734361","85.93","85.93","85.93"
"50704.738349","99.87","99.87","99.87"
"50715.649988","100","100","100"
"50734.743114","94.2","94.2","94.2"
"50745.652829","93.73","93.73","93.73"
"50764.745574","99.93","99.93","99.93"
"50775.654927","100","100","100"
"50794.835952","99.67","99.67","99.67"
"50805.65744","97.6","97.6","97.6"
"50824.867572","37.2","37.2","37.2"
"50835.658786","99.67","99.67","99.67"
"50854.873319","53.13","53.13","53.13"
"50865.660959","100","100","100"
"50895.664066","100","100","100"
"50914.901157","66.6","66.6","66.6"
"50925.6653","100","100","100"
"50944.904436","93.47","93.47","93.47"
"50955.667558","99.67","99.67","99.67"
"50974.915362","92.73","92.73","92.73"
"50985.668639","100","100","100"
"51004.926623","99.6","99.6","99.6"
"51015.671488","89.93","89.93","89.93"
"51034.928006","100","100","100"
"51045.675428","99.87","99.87","99.87"
"51064.93122","100","100","100"
"51075.678359","100","100","100"
"51094.932416","98.2","98.2","98.2"
"51105.680503","93.33","93.33","93.33"
"51124.935808","95","95","95"
"51135.683779","100","100","100"
"51154.940634","100","100","100"
"51165.686326","100","100","100"
"51184.946152","100","100","100"
"51195.688843","99.87","99.87","99.87"
"51214.950882","98.53","98.53","98.53"
"51225.734258","100","100","100"
"51244.955856","96.47","96.47","96.47"
"51255.738417","94.67","94.67","94.67"
"51274.958427","100","100","100"
"51285.742308","93.87","93.87","93.87"
"51304.962463","92.87","92.87","92.87"
"51315.745887","100","100","100"
"51334.973484","100","100","100"
"51345.749812","89.27","89.27","89.27"
"51364.979937","99.8","99.8","99.8"
"51375.753424","87.53","87.53","87.53"
"51394.987777","100","100","100"
"51405.756772","99.87","99.87","99.87"
"51424.994006","99.87","99.87","99.87"
"51435.759324","99.87","99.87","99.87"
"51454.998219","100","100","100"
"51465.761064","92.53","92.53","92.53"
"51485.019734","100","100","100"
"51515.032949","93.47","93.47","93.47"
"51525.763696","100","100","100"
"51545.107888","83.67","83.67","83.67"
"51555.766543","100","100","100"
"51575.166567","100","100","100"
"51585.770459","94.13","94.13","94.13"
"51605.18295","99.93","99.93","99.93"
"51615.771281","99.87","99.87","99.87"
"51635.213003","68.67","68.67","68.67"
"51645.774428","99.93","99.93","99.93"
"51665.346572","94.2","94.2","94.2"
"51675.776895","99.47","99.47","99.47"
"51705.778882","99.93","99.93","99.93"
"51725.394408","96","96","96"
"51735.78303","99.87","99.87","99.87"
"51755.43006","98.07","98.07","98.07"
"51765.809262","99.13","99.13","99.13"
"51785.460594","93.93","93.93","93.93"
"51795.820001","99.4","99.4","99.4"
"51815.478946","93.2","93.2","93.2"
"51825.822881","99","99","99"
"51845.480096","100","100","100"
"51855.827496","97.87","97.87","97.87"
"51875.509373","100","100","100"
"51885.829958","95.47","95.47","95.47"
"51905.554018","100","100","100"
"51915.832134","97.2","97.2","97.2"
"51935.557576","97.2","97.2","97.2"
"51945.840548","100","100","100"
"51965.558507","93.53","93.53","93.53"
"51975.848624","89.27","89.27","89.27"
"51995.566582","100","100","100"
"52005.85058","89.67","89.67","89.67"
"52025.626862","97.73","97.73","97.73"
"52035.852801","96.87","96.87","96.87"
"52055.627882","100","100","100"
"52065.856895","89.47","89.47","89.47"
"52085.656283","99.73","99.73","99.73"
"52095.860945","100","100","100"
"52115.666894","100","100","100"
"52125.863874","99.33","99.33","99.33"
"52145.702579","100","100","100"
"52155.868128","98.27","98.27","98.27"
"52175.764754","94.6","94.6","94.6"
"52185.872847","100","100","100"
"52205.786066","100","100","100"
"52215.875315","99.67","99.67","99.67"
"52235.790584","83.87","83.87","83.87"
"52245.878875","93.13","93.13","93.13"
"52265.802103","100","100","100"
"52275.880884","99.8","99.8","99.8"
"52295.8429","93.4","93.4","93.4"
"52305.883993","99.87","99.87","99.87"
"52325.87836","100","100","100"
"52355.879298","100","100","100"
"52365.888437","98.67","98.67","98.67"
"52385.880324","100","100","100"
"52395.890934","93.27","93.27","93.27"
"52415.95138","81.6","81.6","81.6"
"52425.893062","92.67","92.67","92.67"
"52445.974351","100","100","100"
"52455.896194","100","100","100"
"52485.897176","99.93","99.93","99.93"
"52505.983511","93.33","93.33","93.33"
"52515.89932","93.33","93.33","93.33"
"52535.987377","93.27","93.27","93.27"
"52545.902482","100","100","100"
"52565.990826","93.4","93.4","93.4"
"52575.905051","99.93","99.93","99.93"
"52596.009164","100","100","100"
"52605.906609","100","100","100"
"52626.072955","100","100","100"
"52635.933488","100","100","100"
"52656.078052","90.6","90.6","90.6"
"52666.366518","96.93","96.93","96.93"
"52686.079151","100","100","100"
"52696.367459","100","100","100"
"52716.081158","100","100","100"
"52726.370275","93.33","93.33","93.33"
"52746.089074","93.53","93.53","93.53"
"52756.374658","95.47","95.47","95.47"
"52776.135367","93.33","93.33","93.33"
"52786.380025","99.6","99.6","99.6"
"52806.210014","93.6","93.6","93.6"
"52816.38094","99.87","99.87","99.87"
"52836.265233","79.33","79.33","79.33"
"52846.384478","100","100","100"
"52866.321341","93.4","93.4","93.4"
"52876.385786","96.73","96.73","96.73"
"52896.322488","93.33","93.33","93.33"
"52906.388063","100","100","100"
"52926.337195","73.4","73.4","73.4"
"52936.396696","100","100","100"
"52956.341479","100","100","100"
"52966.431891","95.53","95.53","95.53"
"52986.584866","100","100","100"
"52996.435162","99.53","99.53","99.53"
"53016.660844","100","100","100"
"53026.438937","99.6","99.6","99.6"
"53046.664443","93.33","93.33","93.33"
"53056.445474","99.67","99.67","99.67"
"53076.724265","99.73","99.73","99.73"
"53086.446483","99.93","99.93","99.93"
"53106.782064","100","100","100"
"53116.448491","99.87","99.87","99.87"
"53136.78707","100","100","100"
"53146.450468","99.2","99.2","99.2"
"53196.893865","80.13","80.13","80.13"
"53206.453368","99.93","99.93","99.93"
"53227.010401","74.07","74.07","74.07"
"53236.455028","100","100","100"
"53257.039191","95.4","95.4","95.4"
"53266.457036","100","100","100"
"53287.100574","100","100","100"
"53296.465346","93.73","93.73","93.73"
"53317.120312","99.33","99.33","99.33"
"53326.468525","99.93","99.93","99.93"
"53347.153278","93.4","93.4","93.4"
"53356.512278","100","100","100"
"53377.169333","83.8","83.8","83.8"
"53386.520172","99.93","99.93","99.93"
"53407.317423","99.6","99.6","99.6"
"53416.521193","99.6","99.6","99.6"
"53437.336115","100","100","100"
"53446.527441","91.53","91.53","91.53"
"53467.379616","87.2","87.2","87.2"
"53476.536052","88.67","88.67","88.67"
"53497.380642","96.47","96.47","96.47"
"53506.54099","96.47","96.47","96.47"
"53527.400191","86.4","86.4","86.4"
"53536.59923","95.8","95.8","95.8"
"53557.434242","93.47","93.47","93.47"
"53566.643763","99.6","99.6","99.6"
"53587.448621","96.33","96.33","96.33"
"53596.659818","100","100","100"
"53617.635915","93.87","93.87","93.87"
"53626.665394","87.53","87.53","87.53"
"53656.667539","99.87","99.87","99.87"
"53677.771518","66.33","66.33","66.33"
"53686.670663","100","100","100"
"53707.791144","82.8","82.8","82.8"
"53716.72999","98","98","98"
"53737.867495","92.47","92.47","92.47"
"53746.864698","99.73","99.73","99.73"
"53767.879772","64.73","64.73","64.73"
"53776.874672","100","100","100"
"53797.91068","100","100","100"
"53806.876893","94.13","94.13","94.13"
"53827.962882","100","100","100"
"53836.881007","100","100","100"
"53858.058252","87.93","87.93","87.93"
"53866.893357","100","100","100"
"53888.120443","100","100","100"
"53896.894283","100","100","100"
"53918.159199","92.8","92.8","92.8"
"53926.896923","90.93","90.93","90.93"
"53948.172246","100","100","100"
"53956.899348","92.4","92.4","92.4"
"53978.177131","93.33","93.33","93.33"
"54008.221971","99.8","99.8","99.8"
"54016.907369","97.53","97.53","97.53"
"54038.248554","100","100","100"
"54046.909318","100","100","100"
"54068.290604","82.07","82.07","82.07"
"54076.910248","99.93","99.93","99.93"
"54098.293829","92.4","92.4","92.4"
"54106.912045","99.93","99.93","99.93"
"54136.914873","100","100","100"
"54158.345519","100","100","100"
"54166.919054","90.13","90.13","90.13"
"54188.380131","88.2","88.2","88.2"
"54196.961336","93.67","93.67","93.67"
"54218.412493","86.67","86.67","86.67"
"54227.041698","100","100","100"
"54248.485674","91.6","91.6","91.6"
"54257.046255","97.73","97.73","97.73"
"54278.522625","100","100","100"
"54287.049186","99.93","99.93","99.93"
"54308.558277","93.53","93.53","93.53"
"54317.051891","93.33","93.33","93.33"
"54338.563862","86.67","86.67","86.67"
"54347.055192","99.87","99.87","99.87"
"54368.566164","93.33","93.33","93.33"
"54377.062625","99.87","99.87","99.87"
"54398.853869","93.33","93.33","93.33"
"54407.065981","100","100","100"
"54428.900046","86.73","86.73","86.73"
"54437.068868","99.87","99.87","99.87"
"54458.918104","95.27","95.27","95.27"
"54467.070791","100","100","100"
"54489.65019","100","100","100"
"54497.073768","99.47","99.47","99.47"
"54519.744337","94.47","94.47","94.47"
"54527.074831","100","100","100"
"54549.81337","96.33","96.33","96.33"
"54557.078011","56.73","56.73","56.73"
"54579.858446","96.87","96.87","96.87"
"54587.08361","57.87","57.87","57.87"
"54609.862228","99.73","99.73","99.73"
"54617.087596","60.27","60.27","60.27"
"54639.865568","99","99","99"
"54647.090948","93.67","93.67","93.67"
"54669.867585","80.53","80.53","80.53"
"54677.093775","99.4","99.4","99.4"
"54699.933662","93.4","93.4","93.4"
"54707.0977","99.53","99.53","99.53"
"54729.95012","100","100","100"
"54737.10084","99.93","99.93","99.93"
"54759.992583","93.53","93.53","93.53"
"54767.102826","94.13","94.13","94.13"
"54790.011004","91.47","91.47","91.47"
"54820.046524","100","100","100"
"54827.117475","99.4","99.4","99.4"
"54850.113847","100","100","100"
"54857.121345","100","100","100"
"54880.15545","93.33","93.33","93.33"
"54887.147234","93.4","93.4","93.4"
"54910.174748","89.47","89.47","89.47"
"54917.155586","84","84","84"
"54947.15884","100","100","100"
"54970.447084","93.33","93.33","93.33"
"54977.178237","99.67","99.67","99.67"
"55000.517884","80.07","80.07","80.07"
"55007.179506","98.07","98.07","98.07"
"55030.521526","93.6","93.6","93.6"
"55037.182045","99.67","99.67","99.67"
"55060.564777","100","100","100"
"55067.225425","100","100","100"
"55090.594571","100","100","100"
"55097.226631","99.53","99.53","99.53"
"55120.59891","90.27","90.27","90.27"
"55127.229698","91.87","91.87","91.87"
"55150.637222","100","100","100"
"55157.23215","98.2","98.2","98.2"
"55180.686931","87.87","87.87","87.87"
"55187.236694","99.33","99.33","99.33"
"55210.761299","87.4","87.4","87.4"
"55217.242435","100","100","100"
"55240.788327","93.27","93.27","93.27"
"55247.321159","93.8","93.8","93.8"
"55270.801153","100","100","100"
"55277.531193","100","100","100"
"55300.821628","86.8","86.8","86.8"
"55307.54144","85.13","85.13","85.13"
"55330.846594","95.87","95.87","95.87"
"55337.547456","93.33","93.33","93.33"
"55360.870955","94.27","94.27","94.27"
"55367.552537","100","100","100"
"55390.873082","93.33","93.33","93.33"
"55397.555327","97.4","97.4","97.4"
"55420.953848","100","100","100"
"55427.902487","98.33","98.33","98.33"
"55450.971141","100","100","100"
"55457.976358","100","100","100"
"55480.972392","99.93","99.93","99.93"
"55487.982202","95.07","95.07","95.07"
"55510.978789","99.27","99.27","99.27"
"55517.988638","94.87","94.87","94.87"
"55540.999616","99.93","99.93","99.93"
"55547.992272","99.93","99.93","99.93"
"55571.055155","100","100","100"
"55577.998884","97.6","97.6","97.6"
"55601.059968","100","100","100"
"55631.074192","93.53","93.53","93.53"
"55638.005591","96.13","96.13","96.13"
"55661.103376","93.53","93.53","93.53"
"55668.006603","100","100","100"
"55691.146588","100","100","100"
"55698.009757","99.87","99.87","99.87"
"55721.237383","100","100","100"
"55728.012786","100","100","100"
"55758.01866","99.67","99.67","99.67"
"55781.261827","93.73","93.73","93.73"
"55788.049591","95.73","95.73","95.73"
"55811.28692","96.6","96.6","96.6"
"55818.073623","97","97","97"
"55841.294031","100","100","100"
"55848.14964","100","100","100"
"55871.337926","93.67","93.67","93.67"
"55878.151752","97.73","97.73","97.73"
"55901.35837","90.4","90.4","90.4"
"55908.15471","99.87","99.87","99.87"
"55931.373367","100","100","100"
"55938.158705","100","100","100"
"55961.406956","100","100","100"
"55968.161956","99.93","99.93","99.93"
"55991.44173","100","100","100"
"55998.166063","97","97","97"
"56021.443905","99.13","99.13","99.13"
"56028.168113","99.93","99.93","99.93"
"56051.450312","100","100","100"
"56058.170825","100","100","100"
"56081.45381","96.13","96.13","96.13"
"56088.17292","93.33","93.33","93.33"
"56111.473664","98.27","98.27","98.27"
"56118.19355","98.4","98.4","98.4"
"56141.630228","93.53","93.53","93.53"
"56148.207117","100","100","100"
"56171.832103","80.73","80.73","80.73"
"56178.210315","98.4","98.4","98.4"
"56201.83909","100","100","100"
"56208.212953","93.2","93.2","93.2"
"56231.841204","89.4","89.4","89.4"
"56238.215053","98.8","98.8","98.8"
"56261.889479","91.53","91.53","91.53"
"56268.221388","89","89","89"
"56291.894997","80","80","80"
"56298.225202","93.33","93.33","93.33"
"56321.9007","92.07","92.07","92.07"
"56328.244372","100","100","100"
"56351.911671","80.33","80.33","80.33"
"56358.26779","96.4","96.4","96.4"
"56382.549144","100","100","100"
"56388.3032","100","100","100"
"56412.740427","88.13","88.13","88.13"
"56442.812298","99.87","99.87","99.87"
"56448.310114","99.93","99.93","99.93"
"56472.819808","100","100","100"
"56478.313702","99.73","99.73","99.73"
"56508.316502","95.73","95.73","95.73"
"56532.89286","76.07","76.07","76.07"
"56538.32035","92.93","92.93","92.93"
"56562.906643","100","100","100"
"56568.32705","93.8","93.8","93.8"
"56593.000679","93.47","93.47","93.47"
"56598.333909","99.13","99.13","99.13"
"56623.020795","100","100","100"
"56628.336848","100","100","100"
"56653.096867","100","100","100"
"56658.338785","100","100","100"
"56683.10233","100","100","100"
"56688.340705","100","100","100"
"56713.161434","93.53","93.53","93.53"
"56718.343964","98.93","98.93","98.93"
"56743.209486","93.53","93.53","93.53"
"56748.345731","100","100","100"
"56773.231693","100","100","100"
"56778.347772","100","100","100"
"56803.268738","99.67","99.67","99.67"
"56808.348787","98.33","98.33","98.33"
"56833.307541","100","100","100"
"56838.351907","95.8","95.8","95.8"
"56863.373238","99.93","99.93","99.93"
"56868.354156","99.8","99.8","99.8"
"56893.376562","95.27","95.27","95.27"
"56898.357077","94.87","94.87","94.87"
"56923.386715","91.73","91.73","91.73"
"56928.36562","98.93","98.93","98.93"
"56953.417267","100","100","100"
"56958.371859","95.6","95.6","95.6"
"56983.452545","100","100","100"
"56988.375101","100","100","100"
"57013.498919","100","100","100"
"57018.378269","91.07","91.07","91.07"
"57043.511319","93.47","93.47","93.47"
"57048.382056","99.73","99.73","99.73"
"57073.520355","99.93","99.93","99.93"
"57078.384281","96.93","96.93","96.93"
"57103.521287","80.07","80.07","80.07"
"57108.38707","100","100","100"
"57133.540198","100","100","100"
"57138.389227","93.53","93.53","93.53"
"57163.546313","92.93","92.93","92.93"
"57168.423553","100","100","100"
"57193.587895","90.53","90.53","90.53"
"57198.426188","93.33","93.33","93.33"
"57223.737763","93.53","93.53","93.53"
"57258.43328","99.8","99.8","99.8"
"57283.931195","94.73","94.73","94.73"
"57288.46803","99.87","99.87","99.87"
"57313.956388","86.67","86.67","86.67"
"57318.480377","100","100","100"
"57343.958214","99.53","99.53","99.53"
"57348.483543","93.73","93.73","93.73"
"57374.041456","100","100","100"
"57378.487757","100","100","100"
"57404.282934","96.67","96.67","96.67"
"57408.490087","100","100","100"
"57434.541392","63.6","63.6","63.6"
"57438.493006","98.4","98.4","98.4"
"57464.544705","74.67","74.67","74.67"
"57468.498159","96.87","96.87","96.87"
"57494.556898","91.73","91.73","91.73"
"57498.501534","99.8","99.8","99.8"
"57524.780787","100","100","100"
"57528.504954","100","100","100"
"57554.853486","85.33","85.33","85.33"
"57558.507101","99.33","99.33","99.33"
"57584.891519","100","100","100"
"57588.509374","100","100","100"
"57614.950623","100","100","100"
"57618.514014","99.6","99.6","99.6"
"57644.95889","97","97","97"
"57648.519586","100","100","100"
"57674.964614","88.47","88.47","88.47"
"57678.524232","97.67","97.67","97.67"
"57704.99107","93.33","93.33","93.33"
"57708.527187","99.8","99.8","99.8"
"57735.078235","93.33","93.33","93.33"
"57738.533325","100","100","100"
"57765.093176","94","94","94"
"57768.536037","99.33","99.33","99.33"
"57795.125785","100","100","100"
"57798.539468","96","96","96"
"57825.131508","99.47","99.47","99.47"
"57828.541897","97.87","97.87","97.87"
"57855.141567","100","100","100"
"57858.545306","99.33","99.33","99.33"
"57885.212729","100","100","100"
"57888.548708","100","100","100"
"57918.552539","100","100","100"
"57945.235652","92.4","92.4","92.4"
"57948.554329","99.93","99.93","99.93"
"57975.263024","99.4","99.4","99.4"
"57978.563695","95.13","95.13","95.13"
"58005.303321","100","100","100"
"58008.57076","89.07","89.07","89.07"
"58035.373152","100","100","100"
"58065.395985","100","100","100"
"58068.586561","100","100","100"
"58095.400514","93.6","93.6","93.6"
"58098.593947","89.27","89.27","89.27"
"58125.418083","92.93","92.93","92.93"
"58128.599227","99.53","99.53","99.53"
"58155.439681","92.73","92.73","92.73"
"58158.603733","100","100","100"
"58185.44501","99.93","99.93","99.93"
"58188.606119","94.4","94.4","94.4"
"58215.447897","100","100","100"
"58218.609146","99.07","99.07","99.07"
"58245.457033","100","100","100"
"58248.613995","85.6","85.6","85.6"
"58275.471066","85.4","85.4","85.4"
"58278.616279","100","100","100"
"58305.480795","77.4","77.4","77.4"
"58308.618819","99.67","99.67","99.67"
"58335.48262","94.2","94.2","94.2"
"58338.624353","97","97","97"
"58365.523566","99.8","99.8","99.8"
"58368.632826","89.27","89.27","89.27"
"58395.528335","99.93","99.93","99.93"
"58398.634893","96.67","96.67","96.67"
"58425.532828","92.73","92.73","92.73"
"58428.637361","100","100","100"
"58455.566723","100","100","100"
"58458.64829","96.87","96.87","96.87"
"58485.568847","91.8","91.8","91.8"
"58488.650318","99.87","99.87","99.87"
"58515.573335","99.73","99.73","99.73"
"58518.652489","97.27","97.27","97.27"
"58545.577315","99.6","99.6","99.6"
"58548.655664","100","100","100"
"58578.662622","100","100","100"
"58605.645242","98.8","98.8","98.8"
"58608.668442","99.73","99.73","99.73"
"58635.731322","96.67","96.67","96.67"
"58638.673147","95.93","95.93","95.93"
"58665.739888","86.87","86.87","86.87"
"58668.675232","94.73","94.73","94.73"
"58695.75781","79.93","79.93","79.93"
"58698.678322","97.4","97.4","97.4"
"58725.769156","88.4","88.4","88.4"
"58728.687369","100","100","100"
"58755.773064","80.93","80.93","80.93"
"58758.715835","88.13","88.13","88.13"
"58785.802339","100","100","100"
"58788.7306","78.13","78.13","78.13"
"58815.808231","100","100","100"
"58845.813887","98","98","98"
"58848.736251","100","100","100"
"58875.817059","99.33","99.33","99.33"
"58878.738393","91.87","91.87","91.87"
"58905.827341","96.67","96.67","96.67"
"58908.74175","99","99","99"
"58935.833818","100","100","100"
"58938.743724","92.07","92.07","92.07"
"58965.881589","99.8","99.8","99.8"
"58968.776245","100","100","100"
"58995.883985","94.47","94.47","94.47"
"58998.781192","99.33","99.33","99.33"
"59025.889247","99.73","99.73","99.73"
"59028.784526","99.8","99.8","99.8"
"59055.892871","100","100","100"
"59058.78886","96.4","96.4","96.4"
"59085.901412","100","100","100"
"59088.793226","100","100","100"
"59115.904639","97.2","97.2","97.2"
"59118.799874","100","100","100"
"59145.908221","99.93","99.93","99.93"
"59148.846188","85.47","85.47","85.47"
"59175.913458","96.8","96.8","96.8"
"59178.850523","100","100","100"
"59205.918135","99.07","99.07","99.07"
"59208.858954","99.13","99.13","99.13"
"59235.92126","93.4","93.4","93.4"
"59238.863646","100","100","100"
"59265.925952","100","100","100"
"59268.87029","100","100","100"
"59295.930325","98.47","98.47","98.47"
"59298.87375","85.47","85.47","85.47"
"59328.881838","97.47","97.47","97.47"
"59355.934828","99.53","99.53","99.53"
"59358.885875","92.8","92.8","92.8"
"59385.938908","100","100","100"
"59388.89033","60.07","60.07","60.07"
"59415.942062","96.67","96.67","96.67"
"59418.8986","75.33","75.33","75.33"
"59445.945385","96.33","96.33","96.33"
"59448.904001","33.6","33.6","33.6"
"59475.948736","100","100","100"
"59478.905768","98.87","98.87","98.87"
"59505.953207","100","100","100"
"59508.909753","98.33","98.33","98.33"
"59535.961881","100","100","100"
"59538.912964","100","100","100"
"59565.967148","100","100","100"
"59568.915515","100","100","100"
"59595.971359","99.13","99.13","99.13"
"59625.973418","100","100","100"
"59628.932321","92.73","92.73","92.73"
"59655.977901","98.67","98.67","98.67"
"59658.97722","99.87","99.87","99.87"
"59685.982625","96","96","96"
"59688.984293","92.6","92.6","92.6"
"59715.987299","96.4","96.4","96.4"
"59718.987543","93.33","93.33","93.33"
"59746.000835","99.67","99.67","99.67"
"59748.991209","100","100","100"
"59776.010171","100","100","100"
"59779.020975","99.93","99.93","99.93"
"59806.01415","98.6","98.6","98.6"
"59809.023046","97.27","97.27","97.27"
"59836.049721","96.73","96.73","96.73"
"59839.029603","97.8","97.8","97.8"
"59866.090518","100","100","100"
"59869.03297","92.33","92.33","92.33"
"59896.09433","97","97","97"
"59899.06753","86.67","86.67","86.67"
"59926.14697","94.87","94.87","94.87"
"59929.365301","100","100","100"
"59956.178771","99.8","99.8","99.8"
"59959.375865","96.6","96.6","96.6"
"59986.184139","93.27","93.27","93.27"
"59989.408676","100","100","100"
"60016.187645","100","100","100"
"60019.418419","94.33","94.33","94.33"
"60046.193281","86.67","86.67","86.67"
"60049.430865","96.6","96.6","96.6"
"60076.197232","94.27","94.27","94.27"
"60079.438119","93.07","93.07","93.07"
"60109.440364","100","100","100"
"60136.217662","100","100","100"
"60139.443819","97.07","97.07","97.07"
"60166.222086","99.93","99.93","99.93"
"60169.457712","100","100","100"
"60196.226396","100","100","100"
"60199.482586","92.67","92.67","92.67"
"60226.228758","95.67","95.67","95.67"
"60229.485659","99.93","99.93","99.93"
"60256.272019","99","99","99"
"60259.492368","100","100","100"
"60286.294556","52.6","52.6","52.6"
"60289.501526","95.33","95.33","95.33"
"60316.29977","74.87","74.87","74.87"
"60346.343593","47","47","47"
"60349.544243","100","100","100"
"60376.34581","96.67","96.67","96.67"
"60379.548224","93.53","93.53","93.53"
"60406.362948","95.47","95.47","95.47"
"60409.551195","99","99","99"
"60436.374007","100","100","100"
"60439.553634","100","100","100"
"60466.37888","98.87","98.87","98.87"
"60469.557046","99.13","99.13","99.13"
"60496.383867","100","100","100"
"60499.561215","93","93","93"
"60526.389285","96.67","96.67","96.67"
"60529.565888","96.73","96.73","96.73"
"60556.461642","99.4","99.4","99.4"
"60559.568307","100","100","100"
"60586.486711","99.73","99.73","99.73"
"60589.570409","98.8","98.8","98.8"
"60616.489982","99.53","99.53","99.53"
"60619.571805","100","100","100"
"60646.494508","96.53","96.53","96.53"
"60649.574669","94.33","94.33","94.33"
"60676.500165","99.67","99.67","99.67"
"60679.578086","92.27","92.27","92.27"
"60706.506192","97.6","97.6","97.6"
"60709.581621","96.47","96.47","96.47"
"60736.510688","94.53","94.53","94.53"
"60739.583285","99.93","99.93","99.93"
"60766.51429","99.6","99.6","99.6"
"60769.585707","97.47","97.47","97.47"
"60796.518923","100","100","100"
"60799.589371","100","100","100"
