"Relative Time (Process)","base_config_0118 - system/gpu.process.0.gpu","base_config_0118 - system/gpu.process.0.gpu__MIN","base_config_0118 - system/gpu.process.0.gpu__MAX"
"780.526603","99.87","99.87","99.87"
"781.238124","99.93","99.93","99.93"
"810.44169","99.6","99.6","99.6"
"810.483376","99.93","99.93","99.93"
"810.528989","100","100","100"
"840.442705","100","100","100"
"840.530874","99.93","99.93","99.93"
"870.443834","99.73","99.73","99.73"
"870.48548","99.93","99.93","99.93"
"870.534213","88.87","88.87","88.87"
"900.445146","99.53","99.53","99.53"
"900.486397","99.47","99.47","99.47"
"900.536502","81.2","81.2","81.2"
"930.446101","99.93","99.93","99.93"
"930.48774","99.73","99.73","99.73"
"930.538639","94.2","94.2","94.2"
"960.449412","97.33","97.33","97.33"
"960.489042","99.6","99.6","99.6"
"960.544522","98.6","98.6","98.6"
"990.452328","100","100","100"
"990.490009","99.87","99.87","99.87"
"990.55188","88.93","88.93","88.93"
"1020.453365","99.87","99.87","99.87"
"1020.491496","99.87","99.87","99.87"
"1020.554419","98.93","98.93","98.93"
"1050.454584","99.67","99.67","99.67"
"1050.493449","99.93","99.93","99.93"
"1050.559376","89.13","89.13","89.13"
"1080.468593","99.6","99.6","99.6"
"1080.494909","100","100","100"
"1080.567936","92.07","92.07","92.07"
"1110.476364","89.8","89.8","89.8"
"1110.496225","99","99","99"
"1110.572097","96.33","96.33","96.33"
"1140.477698","100","100","100"
"1140.500134","100","100","100"
"1140.580739","99.93","99.93","99.93"
"1170.47898","99.73","99.73","99.73"
"1170.501413","99.87","99.87","99.87"
"1170.585664","96.27","96.27","96.27"
"1200.491261","99.73","99.73","99.73"
"1200.502512","100","100","100"
"1200.593","88.27","88.27","88.27"
"1230.503428","99.93","99.93","99.93"
"1230.54041","93.33","93.33","93.33"
"1230.604793","96.2","96.2","96.2"
"1260.504783","93.6","93.6","93.6"
"1260.570599","94.73","94.73","94.73"
"1260.607739","93.33","93.33","93.33"
"1290.506588","99.8","99.8","99.8"
"1290.573278","93.47","93.47","93.47"
"1290.754386","79","79","79"
"1320.510054","99.93","99.93","99.93"
"1320.574134","99.8","99.8","99.8"
"1321.519367","93.2","93.2","93.2"
"1350.510918","99.53","99.53","99.53"
"1350.575702","86.53","86.53","86.53"
"1380.511849","99.67","99.67","99.67"
"1380.580815","94.33","94.33","94.33"
"1381.522458","92.6","92.6","92.6"
"1410.512806","99.73","99.73","99.73"
"1410.581741","99.73","99.73","99.73"
