"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocated","base_config_0118 - system/gpu.0.memoryAllocated__MIN","base_config_0118 - system/gpu.0.memoryAllocated__MAX","base_config_0118 - system/gpu.1.memoryAllocated","base_config_0118 - system/gpu.1.memoryAllocated__MIN","base_config_0118 - system/gpu.1.memoryAllocated__MAX","base_config_0118 - system/gpu.2.memoryAllocated","base_config_0118 - system/gpu.2.memoryAllocated__MIN","base_config_0118 - system/gpu.2.memoryAllocated__MAX","base_config_0118 - system/gpu.3.memoryAllocated","base_config_0118 - system/gpu.3.memoryAllocated__MIN","base_config_0118 - system/gpu.3.memoryAllocated__MAX"
"29022.742857","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29049.73647","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29052.744075","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29079.740129","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29082.750655","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29109.745934","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29112.756856","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29139.750494","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29142.760065","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29169.753552","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29172.763971","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29199.786311","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29202.765979","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29229.794107","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29232.769053","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29259.797692","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29262.774304","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29289.804607","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29292.806695","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29319.81169","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29322.811443","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29349.817309","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29352.814745","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29379.81951","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29382.817162","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29409.822186","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29412.820455","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29439.830063","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29442.823918","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29469.8361","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29499.846141","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29502.875357","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29529.854974","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29532.883489","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29559.857375","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29562.887189","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29589.861736","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29592.901888","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29619.865742","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29622.913136","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29649.873531","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29652.917303","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29679.877558","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29682.91953","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29712.921847","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29739.882138","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29742.926746","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29769.89546","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29772.927711","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29799.914326","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29802.963696","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29829.918836","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29832.968163","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29859.923681","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29863.11487","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29889.926188","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29894.168725","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29919.930557","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29924.171846","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29949.935545","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29954.175002","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"29979.938728","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"29984.178057","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30009.942197","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30014.182566","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30039.945301","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30044.187476","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30069.961151","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30074.192909","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30099.97031","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30104.195462","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30129.97409","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30134.1965","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30159.980691","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30164.199596","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30189.985469","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30194.203408","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30219.989295","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30224.205454","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30249.992126","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30280.074464","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30284.212271","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30310.089512","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30314.213183","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30340.094223","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30344.219632","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30370.095837","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30374.226302","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30400.10958","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30404.231432","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30430.120495","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30434.235754","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30460.122762","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30464.239994","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30490.128203","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30494.242571","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30520.134107","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30524.246078","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30554.250498","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30580.161023","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30584.255798","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30610.165752","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30614.257942","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30640.191068","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30644.261558","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30670.198504","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30674.266717","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30700.202492","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30704.269238","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30730.208369","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30734.27229","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30760.2127","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30764.273273","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30790.213625","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30794.275184","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30820.216558","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30824.280097","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30850.22075","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30854.282086","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30880.224564","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30884.286468","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30910.228136","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30914.289842","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30940.236278","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30944.29681","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"30970.257496","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"30974.303359","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31000.26677","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31004.307505","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31030.270304","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31060.273563","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31064.313037","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31090.288176","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31094.314735","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31120.298487","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31124.317638","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31150.302979","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31154.320954","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31180.309188","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31184.32428","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31210.31774","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31214.326761","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31240.32166","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31244.3304","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31270.323668","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31274.331882","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31300.327596","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31304.333671","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31330.332207","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31334.336017","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31360.334097","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31364.343234","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31390.340492","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31394.347218","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31424.355542","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31450.347807","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31454.362126","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31480.352306","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31484.366266","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31510.35609","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31514.371098","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31540.359766","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31544.374355","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31570.363203","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31574.377815","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31600.387947","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31604.380547","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31630.405278","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31634.388209","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31660.408574","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31664.391938","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31690.446533","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31694.393966","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31720.45221","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31724.397648","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31750.454897","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31754.401532","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31780.458793","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31784.4039","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31810.459627","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31814.406137","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31840.463218","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31870.465671","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31874.413008","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31900.468531","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31904.414005","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31930.473281","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31934.41761","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31960.488438","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31964.418532","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"31990.510538","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"31994.422404","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32020.522353","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32024.426311","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32050.526404","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32054.427288","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32080.533568","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32084.430274","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32110.537868","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32114.433686","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32140.584959","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32144.437694","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32170.588426","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32174.451975","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32200.59335","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32204.456853","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32230.597775","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32234.457786","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32264.460319","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32290.607191","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32294.464674","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32320.610563","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32324.466859","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32350.612456","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32354.469836","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32380.615873","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32384.473192","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32410.618112","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32414.47401","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32440.620582","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32444.477255","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32470.623827","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32474.480114","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32500.628411","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32504.483071","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32530.634971","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32534.487184","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32560.636769","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32564.48836","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32590.651928","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32594.490891","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32620.664478","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32624.519773","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32650.667883","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32680.675365","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32684.524801","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32710.68029","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32714.526739","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32740.683816","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32744.52771","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32770.687822","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32774.541094","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32800.691288","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32804.547576","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32830.695981","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32834.550939","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32860.698259","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32864.551931","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32890.703558","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32894.554173","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32920.721332","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32924.556143","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32950.733826","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32954.559267","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"32980.738127","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
"32984.562148","77.13","77.13","77.13","77.22","77.22","77.22","77.34","77.34","77.34","80.41","80.41","80.41"
"33010.743747","78","78","78","78.91","78.91","78.91","78.53","78.53","78.53","87.52","87.52","87.52"
