"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocated","base_config_0118 - system/gpu.0.memoryAllocated__MIN","base_config_0118 - system/gpu.0.memoryAllocated__MAX","base_config_0118 - system/gpu.1.memoryAllocated","base_config_0118 - system/gpu.1.memoryAllocated__MIN","base_config_0118 - system/gpu.1.memoryAllocated__MAX","base_config_0118 - system/gpu.2.memoryAllocated","base_config_0118 - system/gpu.2.memoryAllocated__MIN","base_config_0118 - system/gpu.2.memoryAllocated__MAX","base_config_0118 - system/gpu.3.memoryAllocated","base_config_0118 - system/gpu.3.memoryAllocated__MIN","base_config_0118 - system/gpu.3.memoryAllocated__MAX"
"210.415375","77.96","77.96","77.96","77.87","77.87","77.87","77.99","77.99","77.99","77.9","77.9","77.9"
"210.41591","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"210.422962","77.96","77.96","77.96","77.87","77.87","77.87","77.99","77.99","77.99","77.9","77.9","77.9"
"210.434039","77.96","77.96","77.96","77.87","77.87","77.87","77.99","77.99","77.99","79.41","79.41","79.41"
"210.436032","77.97","77.97","77.97","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"210.465991","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"210.509192","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"240.394134","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"240.401957","79.47","79.47","79.47","77.87","77.87","77.87","79.49","79.49","79.49","77.9","77.9","77.9"
"240.416398","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"240.423815","77.96","77.96","77.96","77.87","77.87","77.87","77.99","77.99","77.99","77.9","77.9","77.9"
"240.435107","77.96","77.96","77.96","77.88","77.88","77.88","77.99","77.99","77.99","79.41","79.41","79.41"
"240.437888","77.97","77.97","77.97","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"240.459708","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
