"Step","base_config_0118 - train_geopotential_level1000hPa_lwrmse","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MIN","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MAX"
"34251","130.69542077524054","130.69542077524054","130.69542077524054"
"34254","149.16317647936367","149.16317647936367","149.16317647936367"
"34257","161.0549224942507","161.0549224942507","161.0549224942507"
"34260","132.3842312559505","132.3842312559505","132.3842312559505"
"34263","142.3676977615186","142.3676977615186","142.3676977615186"
"34266","149.6027119037522","149.6027119037522","149.6027119037522"
"34269","132.84135752741946","132.84135752741946","132.84135752741946"
"34272","133.90670432019124","133.90670432019124","133.90670432019124"
"34275","137.98802748283194","137.98802748283194","137.98802748283194"
"34278","127.53951462671438","127.53951462671438","127.53951462671438"
"34281","131.23789975406746","131.23789975406746","131.23789975406746"
"34284","130.23149491497887","130.23149491497887","130.23149491497887"
"34287","132.57556371320214","132.57556371320214","132.57556371320214"
"34290","126.28151011427244","126.28151011427244","126.28151011427244"
"34293","132.93102450267477","132.93102450267477","132.93102450267477"
"34296","125.48685962121152","125.48685962121152","125.48685962121152"
"34299","126.66414556115274","126.66414556115274","126.66414556115274"
"34302","128.47522914751966","128.47522914751966","128.47522914751966"
"34305","126.92427533721204","126.92427533721204","126.92427533721204"
"34308","130.5085722120026","130.5085722120026","130.5085722120026"
"34311","127.88431699883463","127.88431699883463","127.88431699883463"
"34314","130.44483701241413","130.44483701241413","130.44483701241413"
"34317","127.86613652525168","127.86613652525168","127.86613652525168"
"34320","131.12766667881777","131.12766667881777","131.12766667881777"
"34323","134.3832997437271","134.3832997437271","134.3832997437271"
"34326","131.5961602788259","131.5961602788259","131.5961602788259"
"34329","137.6202175078341","137.6202175078341","137.6202175078341"
"34332","144.95510301118745","144.95510301118745","144.95510301118745"
"34335","141.2128230271661","141.2128230271661","141.2128230271661"
"34338","127.52235340485457","127.52235340485457","127.52235340485457"
"34341","125.18580897876731","125.18580897876731","125.18580897876731"
"34344","137.62099637218296","137.62099637218296","137.62099637218296"
"34347","138.75502573229178","138.75502573229178","138.75502573229178"
"34350","126.37213055508767","126.37213055508767","126.37213055508767"
"34353","132.08800008370287","132.08800008370287","132.08800008370287"
"34356","139.82316812541487","139.82316812541487","139.82316812541487"
"34359","127.08407502905882","127.08407502905882","127.08407502905882"
"34362","127.45017370666744","127.45017370666744","127.45017370666744"
"34365","131.9908671236537","131.9908671236537","131.9908671236537"
"34368","133.5589585864807","133.5589585864807","133.5589585864807"
"34371","123.00383086119668","123.00383086119668","123.00383086119668"
"34374","135.5946152778588","135.5946152778588","135.5946152778588"
"34377","127.58093409174009","127.58093409174009","127.58093409174009"
"34380","125.37911913645678","125.37911913645678","125.37911913645678"
"34383","126.25996771065633","126.25996771065633","126.25996771065633"
"34386","134.28391368389936","134.28391368389936","134.28391368389936"
"34389","128.04036091914747","128.04036091914747","128.04036091914747"
"34392","132.11545318768503","132.11545318768503","132.11545318768503"
"34395","135.5314876538455","135.5314876538455","135.5314876538455"
"34398","135.74032762226253","135.74032762226253","135.74032762226253"
"34401","133.52529633658935","133.52529633658935","133.52529633658935"
"34404","127.35090904627485","127.35090904627485","127.35090904627485"
"34407","136.40185990685845","136.40185990685845","136.40185990685845"
"34410","137.06411939309012","137.06411939309012","137.06411939309012"
"34413","133.5238605431635","133.5238605431635","133.5238605431635"
"34416","126.872364656853","126.872364656853","126.872364656853"
"34419","127.70506293560027","127.70506293560027","127.70506293560027"
"34422","131.6261676492727","131.6261676492727","131.6261676492727"
"34425","131.758461224611","131.758461224611","131.758461224611"
"34428","129.03134289214634","129.03134289214634","129.03134289214634"
"34431","134.34146332992188","134.34146332992188","134.34146332992188"
"34434","132.74470860161034","132.74470860161034","132.74470860161034"
"34437","134.091650147648","134.091650147648","134.091650147648"
"34440","123.72765620932681","123.72765620932681","123.72765620932681"
"34443","133.1586395261503","133.1586395261503","133.1586395261503"
"34446","127.32943693712028","127.32943693712028","127.32943693712028"
"34449","126.7581345176443","126.7581345176443","126.7581345176443"
"34452","126.646128334809","126.646128334809","126.646128334809"
"34455","135.23542690419998","135.23542690419998","135.23542690419998"
"34458","129.16875786535834","129.16875786535834","129.16875786535834"
"34461","126.75727291909351","126.75727291909351","126.75727291909351"
"34464","125.86599249389276","125.86599249389276","125.86599249389276"
"34467","136.36398040731268","136.36398040731268","136.36398040731268"
"34470","137.55664732696","137.55664732696","137.55664732696"
"34473","126.17038330589148","126.17038330589148","126.17038330589148"
"34476","134.40988411128845","134.40988411128845","134.40988411128845"
"34479","127.80650708738958","127.80650708738958","127.80650708738958"
"34482","127.53666066878988","127.53666066878988","127.53666066878988"
"34485","130.86013430973475","130.86013430973475","130.86013430973475"
"34488","132.335028344845","132.335028344845","132.335028344845"
"34491","139.45909459514007","139.45909459514007","139.45909459514007"
"34494","144.4197029486715","144.4197029486715","144.4197029486715"
"34497","150.26362966143074","150.26362966143074","150.26362966143074"
"34500","145.6424523847114","145.6424523847114","145.6424523847114"
"34503","136.05765246647206","136.05765246647206","136.05765246647206"
"34506","142.7041232882764","142.7041232882764","142.7041232882764"
"34509","132.03715540676566","132.03715540676566","132.03715540676566"
"34512","133.17868693802174","133.17868693802174","133.17868693802174"
"34515","141.34793861785226","141.34793861785226","141.34793861785226"
"34518","136.3631146164368","136.3631146164368","136.3631146164368"
"34521","130.80956038907019","130.80956038907019","130.80956038907019"
"34524","130.30867548200234","130.30867548200234","130.30867548200234"
