"Step","base_config_0118 - train_specific_humidity_level1000hPa_lwrmse","base_config_0118 - train_specific_humidity_level1000hPa_lwrmse__MIN","base_config_0118 - train_specific_humidity_level1000hPa_lwrmse__MAX"
"33822","0.0007598459685307728","0.0007560249207799652","0.0007636670162815806"
"33825","0.0007530475920874122","0.0007503693681273887","0.0007557258160474356"
"33828","0.0007475545672333103","0.0007452872729452639","0.0007498218615213567"
"33831","0.0007497808618713957","0.0007455082295137229","0.0007540534942290686"
"33834","0.0007422457275869062","0.0007388689827630495","0.0007456224724107629"
"33837","0.0007658083921863246","0.0007640348949067862","0.0007675818894658632"
"33840","0.0007678218306774493","0.0007643055307885052","0.0007713381305663933"
"33843","0.0007568175588834672","0.0007532612136319244","0.00076037390413501"
"33846","0.00075213482350254","0.0007479459631695251","0.000756323683835555"
"33849","0.000762196068883093","0.000758972926568578","0.000765419211197608"
"33852","0.0007602135931339667","0.0007563404081806929","0.0007640867780872404"
"33855","0.0007609689277842912","0.0007548887864047344","0.000767049069163848"
"33858","0.0007521626105572658","0.0007520843028212758","0.0007522409182932556"
"33861","0.0007560364676659163","0.0007544849569219165","0.0007575879784099159"
"33864","0.0007501614597808038","0.000747396358983077","0.0007529265605785307"
"33867","0.0007503986151984678","0.0007488027100361725","0.0007519945203607631"
"33870","0.000748860684184405","0.0007482537379111755","0.0007494676304576346"
"33873","0.0007512936328925794","0.0007483664385010609","0.0007542208272840978"
"33876","0.0007528214162803937","0.0007492196745375256","0.0007564231580232619"
"33879","0.0007463792322874108","0.0007460699208167983","0.0007466885437580232"
"33882","0.000750233528408387","0.0007471945122646591","0.0007532725445521149"
"33885","0.0007471003046629313","0.0007462524972673317","0.0007479481120585309"
"33888","0.0007514918914966354","0.000749438625562468","0.0007535451574308027"
"33891","0.0007708778854149468","0.0007683882236735014","0.000773367547156392"
"33894","0.0007610124456982452","0.0007604583819565859","0.0007615665094399043"
"33897","0.0007524459643312013","0.0007506149102534023","0.0007542770184090003"
"33900","0.0007480366932610026","0.0007442026414768816","0.0007518707450451237"
"33903","0.0007627108691831018","0.0007608599039601927","0.0007645618344060108"
"33906","0.0007590659028284581","0.0007581926470185853","0.0007599391586383309"
"33909","0.0007410190351928652","0.0007354898084003073","0.000746548261985423"
"33912","0.0007685434119730551","0.0007681255182825264","0.0007689613056635838"
"33915","0.0007420815326066333","0.0007367717585224931","0.0007473913066907735"
"33918","0.0007669977664650027","0.000765560763465825","0.0007684347694641803"
"33921","0.000745856027885243","0.0007375480868877494","0.0007541639688827367"
"33924","0.0007596309474604197","0.0007584738887579189","0.0007607880061629204"
"33927","0.0007599727503422883","0.0007570424221644603","0.0007629030785201165"
"33930","0.0007701259475269368","0.0007695949963055728","0.0007706568987483007"
"33933","0.000755768472826478","0.000753038571229135","0.0007584983744238211"
"33936","0.0007618748142360938","0.0007608179637358521","0.0007629316647363355"
"33939","0.0007383729798112817","0.000730420393158621","0.0007463255664639425"
"33942","0.0007584843412449809","0.0007536335432105779","0.0007633351392793839"
"33945","0.000744981305181715","0.0007380754162008061","0.0007518871941626238"
"33948","0.000767405835272423","0.000755189165460903","0.0007796225050839431"
"33951","0.0007573753593414533","0.0007514187311637489","0.0007633319875191576"
"33954","0.0007439673560041562","0.0007433158964003791","0.0007446188156079331"
"33957","0.0007576991895224013","0.0007558090294481168","0.0007595893495966858"
"33960","0.0007582525318335874","0.0007491324424827246","0.0007673726211844503"
"33963","0.0007475624644597994","0.0007468789718194696","0.0007482459571001291"
"33966","0.0007620114261165244","0.0007552182072414465","0.0007688046449916023"
"33969","0.0007601648310639761","0.0007524920428996152","0.0007678376192283372"
"33972","0.0007554288023734979","0.0007540031462096776","0.0007568544585373182"
"33975","0.0007656279111150232","0.0007622363436609546","0.0007690194785690918"
"33978","0.0007527093252305474","0.0007503678981323671","0.0007550507523287276"
"33981","0.0007437382918039285","0.0007413998102433684","0.0007460767733644888"
"33984","0.0007519434265837341","0.0007507593565786075","0.0007531274965888607"
"33987","0.0007519569690732352","0.0007502947806239674","0.000753619157522503"
"33990","0.0007732097929041499","0.000769480284804129","0.0007769393010041708"
"33993","0.0007429824010778741","0.0007411508214500854","0.0007448139807056628"
"33996","0.0007532393506676182","0.0007517598654380902","0.000754718835897146"
"33999","0.0007647917772454081","0.000763367913329908","0.0007662156411609081"
"34002","0.0007610527707313773","0.0007536352871130797","0.0007684702543496748"
