"Step","base_config_0118 - train_2m_temperature_lwrmse","base_config_0118 - train_2m_temperature_lwrmse__MIN","base_config_0118 - train_2m_temperature_lwrmse__MAX"
"33822","1.2260961100138998","1.219457778357282","1.232734441670518"
"33825","1.231682820437304","1.227404053127062","1.2359615877475458"
"33828","1.2063944508868802","1.2012055727268822","1.2115833290468783"
"33831","1.2325694151597597","1.2232940250928634","1.241844805226656"
"33834","1.2135328765569886","1.2081504858950223","1.2189152672189552"
"33837","1.2058313747765212","1.1997685188667542","1.2118942306862883"
"33840","1.186304840088959","1.1817653193111755","1.1908443608667425"
"33843","1.2016541876825546","1.198573908442675","1.2047344669224342"
"33846","1.224374266525854","1.214041720595482","1.2347068124562257"
"33849","1.198246628988417","1.1940972442749975","1.2023960137018368"
"33852","1.2251767108505915","1.2188472155502696","1.2315062061509132"
"33855","1.2085338201131866","1.2061267941725164","1.2109408460538567"
"33858","1.1921211674262868","1.1879879825909945","1.196254352261579"
"33861","1.2320896581968634","1.2294290284917402","1.234750287901987"
"33864","1.1957670267229041","1.1906716149987877","1.2008624384470206"
"33867","1.202432276891997","1.197812543869212","1.2070520099147821"
"33870","1.2001717224393589","1.193709449397796","1.2066339954809218"
"33873","1.1969503759600244","1.192874508963493","1.201026242956556"
"33876","1.2150662559986956","1.2144732710441002","1.215659240953291"
"33879","1.2287208974948285","1.2274891080662795","1.2299526869233774"
"33882","1.226401674729063","1.2128365516621182","1.2399667977960074"
"33885","1.229886717863757","1.2266575804303745","1.2331158552971393"
"33888","1.2468722139365427","1.243517080260514","1.2502273476125714"
"33891","1.2471768838479798","1.245582593224347","1.2487711744716128"
"33894","1.2054378096722285","1.2003290176798833","1.2105466016645736"
"33897","1.239925655999027","1.239436470462153","1.2404148415359013"
"33900","1.2062800780130707","1.205621680570749","1.2069384754553925"
"33903","1.1970185659173993","1.1889225413913527","1.205114590443446"
"33906","1.218485419051194","1.2157441396867354","1.2212266984156528"
"33909","1.2145819846442953","1.210376369898919","1.2187875993896715"
"33912","1.2351662043929375","1.2305433962917702","1.2397890124941047"
"33915","1.2467453313734298","1.2372672176283601","1.2562234451184997"
"33918","1.2239763720542083","1.2160698843603854","1.2318828597480311"
"33921","1.2714087379077836","1.2387497226819848","1.3040677531335825"
"33924","1.2343260220561971","1.2250288354737913","1.2436232086386028"
"33927","1.196823360526586","1.1930652200257117","1.2005815010274603"
"33930","1.2446038249372542","1.233631698359833","1.2555759515146754"
"33933","1.2255541746858691","1.2210144563026297","1.2300938930691088"
"33936","1.2373448984718687","1.2353186138753418","1.2393711830683956"
"33939","1.2270389200418594","1.2265306091698978","1.2275472309138211"
"33942","1.2158869585070704","1.2148572325120726","1.2169166845020682"
"33945","1.2151390811370348","1.1989275853202694","1.2313505769538002"
"33948","1.2204971767229238","1.2185844856448016","1.2224098678010462"
"33951","1.2192175409102755","1.2160130449835638","1.2224220368369871"
"33954","1.196499936809993","1.1931594890952784","1.1998403845247076"
"33957","1.207924546518932","1.202221861480238","1.2136272315576262"
"33960","1.2194793765017837","1.2055212947352738","1.2334374582682939"
"33963","1.2227946003312606","1.2218051444447025","1.2237840562178188"
"33966","1.2493492959081844","1.240906699689782","1.257791892126587"
"33969","1.2196441516054812","1.212438582939023","1.2268497202719393"
"33972","1.207083485131238","1.2027668725518443","1.2114000977106316"
"33975","1.2269744330695425","1.2089744166181378","1.2449744495209472"
"33978","1.2117467998851983","1.2094114188650833","1.2140821809053133"
"33981","1.2168680416174755","1.2098179210532065","1.2239181621817445"
"33984","1.2066782588806138","1.2058323936256414","1.207524124135586"
"33987","1.2364155224705795","1.2284836678705178","1.2443473770706412"
"33990","1.2618468410589028","1.2535997858707562","1.2700938962470496"
"33993","1.2126835506394034","1.2095756516223366","1.2157914496564701"
"33996","1.1965327328742394","1.1927826674847626","1.200282798263716"
"33999","1.2299114355092347","1.226549817779161","1.2332730532393084"
"34002","1.2253954383955863","1.2142737971323885","1.2365170796587839"
"34005","1.224496010904184","1.2212677237042024","1.2277242981041656"
"34008","1.225532857410582","1.219089109609993","1.2319766052111711"
"34011","1.2139187099873174","1.2109300204804585","1.2169073994941761"
"34014","1.225891662017379","1.2191546326892175","1.2326286913455404"
"34017","1.2086910321688458","1.1982076126882384","1.219174451649453"
"34020","1.223871577171045","1.2121857965162077","1.2355573578258825"
"34023","1.2167781370533102","1.208671067507846","1.2248852065987745"
"34026","1.220211053514918","1.2174505278707748","1.2229715791590612"
"34029","1.2097740070237322","1.2053973103661046","1.21415070368136"
"34032","1.2132330534564884","1.2081492768865576","1.2183168300264189"
"34035","1.2292589428086178","1.2160433802950559","1.2424745053221797"
"34038","1.2022567849957584","1.1976040784315678","1.206909491559949"
"34041","1.2301507878517364","1.2301507878517364","1.2301507878517364"
"34044","1.247492631647399","1.247492631647399","1.247492631647399"
"34047","1.2034867474325355","1.2034867474325355","1.2034867474325355"
"34050","1.1998224353242442","1.1998224353242442","1.1998224353242442"
"34053","1.2125271759194123","1.2125271759194123","1.2125271759194123"
"34056","1.2028622050679552","1.2028622050679552","1.2028622050679552"
"34059","1.231501414225404","1.231501414225404","1.231501414225404"
"34062","1.2054689764517925","1.2054689764517925","1.2054689764517925"
"34065","1.208775727705442","1.208775727705442","1.208775727705442"
"34068","1.2188425130159488","1.2188425130159488","1.2188425130159488"
"34071","1.2403717141236856","1.2403717141236856","1.2403717141236856"
"34074","1.2133846934342927","1.2133846934342927","1.2133846934342927"
"34077","1.2467089601179597","1.2467089601179597","1.2467089601179597"
"34080","1.2185235515625379","1.2185235515625379","1.2185235515625379"
"34083","1.2438136352304319","1.2438136352304319","1.2438136352304319"
"34086","1.2455275481811723","1.2455275481811723","1.2455275481811723"
"34089","1.2134991191856475","1.2134991191856475","1.2134991191856475"
"34092","1.2435961159050477","1.2435961159050477","1.2435961159050477"
"34095","1.2341939263403605","1.2341939263403605","1.2341939263403605"
"34098","1.2572255582751408","1.2572255582751408","1.2572255582751408"
"34101","1.2399328117309798","1.2399328117309798","1.2399328117309798"
"34104","1.2005336646133693","1.2005336646133693","1.2005336646133693"
"34107","1.2223465872181611","1.2223465872181611","1.2223465872181611"
"34110","1.2314431926797529","1.2314431926797529","1.2314431926797529"
"34113","1.247475021326349","1.247475021326349","1.247475021326349"
"34116","1.2171320321505605","1.2171320321505605","1.2171320321505605"
"34119","1.20172658192991","1.20172658192991","1.20172658192991"
"34122","1.2433126629617801","1.2433126629617801","1.2433126629617801"
"34125","1.2176161102187943","1.2176161102187943","1.2176161102187943"
"34128","1.2387614470287875","1.2387614470287875","1.2387614470287875"
"34131","1.2286421148861044","1.2286421148861044","1.2286421148861044"
"34134","1.2147387771677405","1.2147387771677405","1.2147387771677405"
"34137","1.2543823741590345","1.2543823741590345","1.2543823741590345"
"34140","1.2477572873424514","1.2477572873424514","1.2477572873424514"
"34143","1.2222077783152598","1.2222077783152598","1.2222077783152598"
"34146","1.2536839917549278","1.2536839917549278","1.2536839917549278"
"34149","1.222368374445825","1.222368374445825","1.222368374445825"
"34152","1.1967368467541313","1.1967368467541313","1.1967368467541313"
"34155","1.198988353348767","1.198988353348767","1.198988353348767"
"34158","1.21964196984833","1.21964196984833","1.21964196984833"
"34161","1.2083408542471843","1.2083408542471843","1.2083408542471843"
"34164","1.1993807056067705","1.1993807056067705","1.1993807056067705"
"34167","1.227257138521568","1.227257138521568","1.227257138521568"
"34170","1.2229139383874756","1.2229139383874756","1.2229139383874756"
"34173","1.2178306891780295","1.2178306891780295","1.2178306891780295"
"34176","1.2174124991495179","1.2174124991495179","1.2174124991495179"
"34179","1.2210023740083187","1.2210023740083187","1.2210023740083187"
"34182","1.2294198599203416","1.2294198599203416","1.2294198599203416"
"34185","1.2102583711949546","1.2102583711949546","1.2102583711949546"
"34188","1.2155042494540307","1.2155042494540307","1.2155042494540307"
"34191","1.1963738124787573","1.1963738124787573","1.1963738124787573"
"34194","1.1928918561759017","1.1928918561759017","1.1928918561759017"
"34197","1.227841417885954","1.227841417885954","1.227841417885954"
"34200","1.2230532193968657","1.2230532193968657","1.2230532193968657"
"34203","1.2109490049139209","1.2109490049139209","1.2109490049139209"
"34206","1.2260282163360041","1.2260282163360041","1.2260282163360041"
"34209","1.211943597792687","1.211943597792687","1.211943597792687"
"34212","1.229789770896057","1.229789770896057","1.229789770896057"
"34215","1.223276127168351","1.223276127168351","1.223276127168351"
"34218","1.2159440973416564","1.2159440973416564","1.2159440973416564"
"34221","1.2472818964007333","1.2472818964007333","1.2472818964007333"
"34224","1.2207469830056576","1.2207469830056576","1.2207469830056576"
"34227","1.2769515203838482","1.2769515203838482","1.2769515203838482"
"34230","1.2306589865989572","1.2306589865989572","1.2306589865989572"
"34233","1.2065847207942153","1.2065847207942153","1.2065847207942153"
"34236","1.2139676959552461","1.2139676959552461","1.2139676959552461"
"34239","1.1995957411751028","1.1995957411751028","1.1995957411751028"
"34242","1.199891331452169","1.199891331452169","1.199891331452169"
"34245","1.231282838087193","1.231282838087193","1.231282838087193"
"34248","1.2014927412506538","1.2014927412506538","1.2014927412506538"
"34251","1.1883593146283258","1.1883593146283258","1.1883593146283258"
"34254","1.2666172334505654","1.2666172334505654","1.2666172334505654"
"34257","1.2280157843926454","1.2280157843926454","1.2280157843926454"
"34260","1.2072705278931861","1.2072705278931861","1.2072705278931861"
"34263","1.2265712140774123","1.2265712140774123","1.2265712140774123"
"34266","1.213036019129921","1.213036019129921","1.213036019129921"
"34269","1.2177266629463102","1.2177266629463102","1.2177266629463102"
"34272","1.2336074080198396","1.2336074080198396","1.2336074080198396"
"34275","1.2224528201908433","1.2224528201908433","1.2224528201908433"
"34278","1.2312741795375224","1.2312741795375224","1.2312741795375224"
"34281","1.2435373939701828","1.2435373939701828","1.2435373939701828"
"34284","1.2409776484175323","1.2409776484175323","1.2409776484175323"
"34287","1.284495634813191","1.284495634813191","1.284495634813191"
"34290","1.2186032028506746","1.2186032028506746","1.2186032028506746"
"34293","1.2284074795744488","1.2284074795744488","1.2284074795744488"
"34296","1.2234397108750776","1.2234397108750776","1.2234397108750776"
"34299","1.2114521461084822","1.2114521461084822","1.2114521461084822"
"34302","1.2147143039762778","1.2147143039762778","1.2147143039762778"
"34305","1.231651409543672","1.231651409543672","1.231651409543672"
"34308","1.2204459744323328","1.2204459744323328","1.2204459744323328"
"34311","1.2117143474276817","1.2117143474276817","1.2117143474276817"
"34314","1.2323034294235216","1.2323034294235216","1.2323034294235216"
"34317","1.217336190036522","1.217336190036522","1.217336190036522"
"34320","1.210019277973763","1.210019277973763","1.210019277973763"
"34323","1.213572816751459","1.213572816751459","1.213572816751459"
"34326","1.2094722185188513","1.2094722185188513","1.2094722185188513"
"34329","1.2080428168746953","1.2080428168746953","1.2080428168746953"
"34332","1.216033320727828","1.216033320727828","1.216033320727828"
"34335","1.246596609175201","1.246596609175201","1.246596609175201"
"34338","1.199848831544021","1.199848831544021","1.199848831544021"
"34341","1.2192690386090987","1.2192690386090987","1.2192690386090987"
"34344","1.24561432333303","1.24561432333303","1.24561432333303"
"34347","1.2272875903621392","1.2272875903621392","1.2272875903621392"
"34350","1.2094887892646873","1.2094887892646873","1.2094887892646873"
"34353","1.1984762891900678","1.1984762891900678","1.1984762891900678"
"34356","1.2039626089513502","1.2039626089513502","1.2039626089513502"
"34359","1.2089364511721112","1.2089364511721112","1.2089364511721112"
"34362","1.1984276846202686","1.1984276846202686","1.1984276846202686"
"34365","1.2461090738149854","1.2461090738149854","1.2461090738149854"
"34368","1.2117532111545783","1.2117532111545783","1.2117532111545783"
"34371","1.2168732511809084","1.2168732511809084","1.2168732511809084"
"34374","1.2638303806547226","1.2638303806547226","1.2638303806547226"
"34377","1.2278826524252553","1.2278826524252553","1.2278826524252553"
"34380","1.202751252115552","1.202751252115552","1.202751252115552"
"34383","1.2102655759229024","1.2102655759229024","1.2102655759229024"
"34386","1.2153012787438127","1.2153012787438127","1.2153012787438127"
"34389","1.1983994103552447","1.1983994103552447","1.1983994103552447"
"34392","1.2256874145986478","1.2256874145986478","1.2256874145986478"
"34395","1.2724845657502475","1.2724845657502475","1.2724845657502475"
"34398","1.2265753368543006","1.2265753368543006","1.2265753368543006"
"34401","1.2189708897348006","1.2189708897348006","1.2189708897348006"
"34404","1.2129106764032178","1.2129106764032178","1.2129106764032178"
"34407","1.2250993781432724","1.2250993781432724","1.2250993781432724"
"34410","1.2323229880311","1.2323229880311","1.2323229880311"
"34413","1.1923623598555455","1.1923623598555455","1.1923623598555455"
"34416","1.2130896959801902","1.2130896959801902","1.2130896959801902"
"34419","1.2243774993365684","1.2243774993365684","1.2243774993365684"
"34422","1.2155604382051555","1.2155604382051555","1.2155604382051555"
"34425","1.232470647639814","1.232470647639814","1.232470647639814"
"34428","1.2168484121734355","1.2168484121734355","1.2168484121734355"
"34431","1.216620174993932","1.216620174993932","1.216620174993932"
"34434","1.226893699477547","1.226893699477547","1.226893699477547"
"34437","1.229078088050834","1.229078088050834","1.229078088050834"
"34440","1.1983217430447701","1.1983217430447701","1.1983217430447701"
"34443","1.1929314292223059","1.1929314292223059","1.1929314292223059"
"34446","1.2087986430176398","1.2087986430176398","1.2087986430176398"
"34449","1.2076706434649878","1.2076706434649878","1.2076706434649878"
"34452","1.2180843104067014","1.2180843104067014","1.2180843104067014"
"34455","1.2363589175255116","1.2363589175255116","1.2363589175255116"
"34458","1.2056531258363585","1.2056531258363585","1.2056531258363585"
"34461","1.2114004424867473","1.2114004424867473","1.2114004424867473"
"34464","1.2025077913227529","1.2025077913227529","1.2025077913227529"
"34467","1.239673733068734","1.239673733068734","1.239673733068734"
"34470","1.225690995643917","1.225690995643917","1.225690995643917"
"34473","1.205931872256087","1.205931872256087","1.205931872256087"
"34476","1.2341235116634437","1.2341235116634437","1.2341235116634437"
"34479","1.215196293298755","1.215196293298755","1.215196293298755"
"34482","1.1873243805045686","1.1873243805045686","1.1873243805045686"
"34485","1.1971669245116696","1.1971669245116696","1.1971669245116696"
"34488","1.2189958170847353","1.2189958170847353","1.2189958170847353"
"34491","1.221336670593614","1.221336670593614","1.221336670593614"
"34494","1.2407534587737408","1.2407534587737408","1.2407534587737408"
"34497","1.210952614287101","1.210952614287101","1.210952614287101"
"34500","1.2153054827581533","1.2153054827581533","1.2153054827581533"
"34503","1.2232016053587598","1.2232016053587598","1.2232016053587598"
"34506","1.2486153266496909","1.2486153266496909","1.2486153266496909"
"34509","1.236275790778678","1.236275790778678","1.236275790778678"
"34512","1.2518076445117696","1.2518076445117696","1.2518076445117696"
"34515","1.2333484123051357","1.2333484123051357","1.2333484123051357"
"34518","1.234222145466789","1.234222145466789","1.234222145466789"
"34521","1.2331283209496888","1.2331283209496888","1.2331283209496888"
"34524","1.229837695286159","1.229837695286159","1.229837695286159"
"34527","1.227738207899828","1.227738207899828","1.227738207899828"
"34530","1.2115619823499606","1.2115619823499606","1.2115619823499606"
"34533","1.2558407669235785","1.2558407669235785","1.2558407669235785"
"34536","1.227416213852182","1.227416213852182","1.227416213852182"
"34539","1.204412407958191","1.204412407958191","1.204412407958191"
"34542","1.2239763727968827","1.2239763727968827","1.2239763727968827"
"34545","1.2305313423192104","1.2305313423192104","1.2305313423192104"
"34548","1.2037489890441793","1.2037489890441793","1.2037489890441793"
"34551","1.23361921242194","1.23361921242194","1.23361921242194"
"34554","1.2179941366004556","1.2179941366004556","1.2179941366004556"
"34557","1.2102963459117175","1.2102963459117175","1.2102963459117175"
"34560","1.2201164193389027","1.2201164193389027","1.2201164193389027"
"34563","1.2358388826461157","1.2358388826461157","1.2358388826461157"
"34566","1.2229071060656682","1.2229071060656682","1.2229071060656682"
"34569","1.2180476796288617","1.2180476796288617","1.2180476796288617"
"34572","1.2172359703283737","1.2172359703283737","1.2172359703283737"
"34575","1.1969322500374866","1.1969322500374866","1.1969322500374866"
"34578","1.2224242520990678","1.2224242520990678","1.2224242520990678"
"34581","1.2294015614354077","1.2294015614354077","1.2294015614354077"
"34584","1.2038943351917653","1.2038943351917653","1.2038943351917653"
"34587","1.2256196043212002","1.2256196043212002","1.2256196043212002"
"34590","1.2240673311414523","1.2240673311414523","1.2240673311414523"
"34593","1.2226187759928262","1.2226187759928262","1.2226187759928262"
"34596","1.2104513723146113","1.2104513723146113","1.2104513723146113"
"34599","1.2075170281441379","1.2075170281441379","1.2075170281441379"
"34602","1.2060393996655743","1.2060393996655743","1.2060393996655743"
"34605","1.1986611963875418","1.1986611963875418","1.1986611963875418"
"34608","1.2046158218951946","1.2046158218951946","1.2046158218951946"
"34611","1.19899589810007","1.19899589810007","1.19899589810007"
"34614","1.2085635443883516","1.2085635443883516","1.2085635443883516"
"34617","1.2231766735794352","1.2231766735794352","1.2231766735794352"
"34620","1.1952391469701955","1.1952391469701955","1.1952391469701955"
"34623","1.2490292758216601","1.2490292758216601","1.2490292758216601"
"34626","1.2196661028322011","1.2196661028322011","1.2196661028322011"
"34629","1.2164813339884935","1.2164813339884935","1.2164813339884935"
"34632","1.2325617917431244","1.2325617917431244","1.2325617917431244"
"34635","1.20310482694231","1.20310482694231","1.20310482694231"
"34638","1.2256846127640664","1.2256846127640664","1.2256846127640664"
"34641","1.2311245687294599","1.2311245687294599","1.2311245687294599"
"34644","1.2271537427822352","1.2271537427822352","1.2271537427822352"
"34647","1.216849926914862","1.216849926914862","1.216849926914862"
"34650","1.1962101832206287","1.1962101832206287","1.1962101832206287"
"34653","1.2199524236957824","1.2199524236957824","1.2199524236957824"
"34656","1.1928217178785303","1.1928217178785303","1.1928217178785303"
"34659","1.2240239650691185","1.2240239650691185","1.2240239650691185"
"34662","1.2269896374791323","1.2269896374791323","1.2269896374791323"
"34665","1.2351246032516752","1.2351246032516752","1.2351246032516752"
"34668","1.2028753580373919","1.2028753580373919","1.2028753580373919"
"34671","1.2130928644658303","1.2130928644658303","1.2130928644658303"
"34674","1.2055122293213474","1.2055122293213474","1.2055122293213474"
"34677","1.2267199038154029","1.2267199038154029","1.2267199038154029"
"34680","1.218889272036704","1.218889272036704","1.218889272036704"
"34683","1.1959341014105973","1.1959341014105973","1.1959341014105973"
"34686","1.2285356331509278","1.2285356331509278","1.2285356331509278"
"34689","1.1922682321143758","1.1922682321143758","1.1922682321143758"
"34692","1.2114286698150067","1.2114286698150067","1.2114286698150067"
"34695","1.245150553937281","1.245150553937281","1.245150553937281"
"34698","1.222817427880233","1.222817427880233","1.222817427880233"
"34701","1.2063718096154203","1.2063718096154203","1.2063718096154203"
"34704","1.235737627281196","1.235737627281196","1.235737627281196"
"34707","1.2316511377554684","1.2316511377554684","1.2316511377554684"
"34712","1.238687063915014","1.228554828429985","1.245786530815148"
"34715","1.1858933982267832","1.1772739833485255","1.2028816974760947"
"34718","1.2199943383004048","1.2141941861367738","1.2315735980359972"
"34721","1.2180200531236116","1.2160896282457578","1.2211309976768436"
"34724","1.2291241092213432","1.2180237232813715","1.2462325887660193"
"34727","1.226071252032074","1.2231481740326209","1.2303793241882195"
"34730","1.2054948271187638","1.199704274107142","1.220603871409521"
"34733","1.2140700860310143","1.2095016319619925","1.2186738639157548"
"34736","1.2222656583959284","1.2178432783490176","1.2313167832726888"
"34739","1.2141212903696301","1.195382730774913","1.2231945871693017"
"34742","1.2089405988818585","1.198549911425383","1.218102512772763"
"34745","1.2059448882642756","1.1990907160340512","1.2109949757868537"
"34748","1.2076562385015817","1.2009224837660688","1.217194457921885"
"34751","1.218163437336984","1.207820502866315","1.2279052321737438"
"34754","1.2094829133378309","1.2064584410736698","1.2121923056160413"
"34757","1.2115460783878036","1.2047187254306204","1.2180797267949357"
"34760","1.218230684159911","1.2141001077808962","1.2229835268015372"
"34763","1.219566870046116","1.213570845859938","1.225562894232294"
"34766","1.2028351287190049","1.1924933785821477","1.2159653164236428"
"34769","1.2330073252174503","1.2283967686946364","1.2378885657197698"
"34772","1.2118852654221408","1.203221411935482","1.2201303778956523"
"34775","1.2080971703039731","1.1936749025958224","1.2347486082194996"
"34778","1.1973777548067437","1.1842822779025723","1.208213529460829"
"34781","1.2001761120622785","1.1958686811424386","1.2044835429821186"
"34784","1.2076034216517701","1.1902881541935386","1.2316768873229111"
"34787","1.2233747228201195","1.211641236828675","1.230892539230801"
